"query","search interest","increase percent"
"charlie kirk",2,"1,500%"
"''",3,"700%"
"chatgpt",15,"150%"
"chat gpt",9,"120%"
"gemini",3,"110%"
"canva",3,"40%"
"sparx",4,"30%"
"vinted",4,"30%"
"pound to inr",1,"30%"
"weather tomorrow",11,"30%"
"ftse 100",3,"30%"
"evri tracking",1,"20%"
"champions league",5,"20%"
"euromillions",3,"20%"
"lego",8,"20%"
"pinterest",2,"20%"
"m&s",8,"20%"
"ttrs",2,"20%"
"f1",8,"20%"
"very",6,"20%"
"whatsapp",7,"20%"
"linkedin",6,"20%"
"gmail",19,"20%"
"blooket",2,"20%"
"arsenal",12,"20%"
"scratch",2,"10%"
"mot checker",1,"10%"
"leeds united",3,"10%"
"nba",3,"10%"
"companies house",5,"10%"
"uc login",1,"10%"
"currys",7,"10%"
"nationwide",4,"10%"
"maps",15,"10%"
"primark",5,"10%"
"next",23,"10%"
"youtube",40,"9%"
"newcastle united",2,"9%"
"outlook login",2,"9%"
"sainsburys",5,"8%"
"universal credit login",3,"8%"
"the range",5,"7%"
"mot check",5,"7%"
"lloyds bank",3,"7%"
"football today",4,"7%"
"home bargains",3,"6%"
"liverpool",25,"6%"
"spotify",5,"6%"
"google maps",8,"5%"
"aston villa",3,"5%"